",""ID"",""n"",""leaf_area"""
"1,""AOB0702"",4,0.88"
"2,""AOZ3248"",4,0.29"
"3,""ATC0594"",4,0.63"
"4,""ATD2489"",4,0.69"
"5,""ATG2894"",4,0.54"
"6,""ATH7123"",4,0.58"
"7,""ATI2396"",4,0.4"
"8,""ATK2020"",4,0.36"
"9,""ATL5938"",4,0.46"
"10,""ATM3888"",4,0.54"
"11,""ATO5377"",4,0.47"
"12,""ATP2831"",4,0.62"
"13,""ATQ6765"",4,0.59"
"14,""ATR7173"",4,0.54"
"15,""ATS4560"",4,0.54"
"16,""ATT7438"",4,0.67"
"17,""ATU1564"",4,0.57"
"18,""ATW2163"",4,0.6"
"19,""ATX3040"",4,0.58"
"20,""ATY6130"",4,0.56"
"21,""ATZ2008"",4,0.59"
"22,""DLJ0928"",4,0.35"
"23,""DND2906"",4,0.37"
